title,release_year,certificate,run_time,genre,rating,gross (USD),votes,director,description
Pulp Fiction,1994,R,154 min,"Crime, Drama",8.9,$107.93M,"2,061,161",Quentin Tarantino,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Saving Private Ryan,1998,R,169 min,"Drama, War",8.6,$216.54M,"1,395,670",Steven Spielberg,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
The Departed,2006,R,151 min,"Crime, Drama, Thriller",8.5,$132.38M,"1,329,621",Martin Scorsese,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Heat,1995,R,170 min,"Action, Crime, Drama",8.3,$67.44M,"658,939",Michael Mann,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
The Silence of the Lambs,1991,R,118 min,"Crime, Drama, Thriller",8.6,$130.74M,"1,436,892",Jonathan Demme,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
No Country for Old Men,2007,R,122 min,"Crime, Drama, Thriller",8.2,$74.28M,"978,575",Ethan Coen,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
Toy Story,1995,G,81 min,"Animation, Adventure, Comedy",8.3,$191.80M,"997,568",John Lasseter,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
The Shawshank Redemption,1994,R,142 min,Drama,9.3,$28.34M,"2,686,522",Frank Darabont,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
Gangs of New York,2002,R,167 min,"Crime, Drama",7.5,$77.81M,"445,998",Martin Scorsese,"In 1862, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher, his father's killer."
The Lord of the Rings: The Two Towers,2002,PG-13,179 min,"Action, Adventure, Drama",8.8,$342.55M,"1,671,394",Peter Jackson,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178 min,"Action, Adventure, Drama",8.8,$315.54M,"1,880,503",Peter Jackson,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Se7en,1995,R,127 min,"Crime, Drama, Mystery",8.6,$100.13M,"1,657,891",David Fincher,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
