title,release_year,certificate,run_time,rating
1. The Shawshank Redemption,1994,R,2h 22m,9.3
2. The Godfather,1972,R,2h 55m,9.2
3. The Dark Knight,2008,PG-13,2h 32m,9.0
4. The Godfather Part II,1974,R,3h 22m,9.0
5. 12 Angry Men,1957,Approved,1h 36m,9.0
6. Schindler's List,1993,R,3h 15m,9.0
7. The Lord of the Rings: The Return of the King,2003,PG-13,3h 21m,9.0
8. Pulp Fiction,1994,R,2h 34m,8.9
9. The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,2h 58m,8.8
"10. The Good, the Bad and the Ugly",1966,Approved,2h 58m,8.8
11. Forrest Gump,1994,PG-13,2h 22m,8.8
12. Fight Club,1999,R,2h 19m,8.8
13. The Lord of the Rings: The Two Towers,2002,PG-13,2h 59m,8.8
14. Inception,2010,PG-13,2h 28m,8.8
15. Star Wars: Episode V - The Empire Strikes Back,1980,PG,2h 4m,8.7
16. The Matrix,1999,R,2h 16m,8.7
17. Spider-Man: Across the Spider-Verse,2023,PG,2h 20m,8.8
18. Goodfellas,1990,R,2h 25m,8.7
19. One Flew Over the Cuckoo's Nest,1975,R,2h 13m,8.7
20. Se7en,1995,R,2h 7m,8.6
21. It's a Wonderful Life,1946,PG,2h 10m,8.6
22. Seven Samurai,1954,Not Rated,3h 27m,8.6
23. The Silence of the Lambs,1991,R,1h 58m,8.6
24. Interstellar,2014,PG-13,2h 49m,8.7
25. Saving Private Ryan,1998,R,2h 49m,8.6
26. City of God,2002,R,2h 10m,8.6
27. Life Is Beautiful,1997,PG-13,1h 56m,8.6
28. The Green Mile,1999,R,3h 9m,8.6
29. Star Wars: Episode IV - A New Hope,1977,PG,2h 1m,8.6
30. Terminator 2: Judgment Day,1991,R,2h 17m,8.6
31. Back to the Future,1985,PG,1h 56m,8.5
32. Spirited Away,2001,PG,2h 5m,8.6
33. The Pianist,2002,R,2h 30m,8.5
34. Oppenheimer,2023,R,3h,8.6
35. Psycho,1960,R,1h 49m,8.5
36. Parasite,2019,R,2h 12m,8.5
37. Gladiator,2000,R,2h 35m,8.5
38. The Lion King,1994,G,1h 28m,8.5
